job_title,salary
Machine Learning Engineer,107589.74 to 111615.38
Machine Learning Engineer,75384.62 to 79410.26
Data Specialist,67333.33 to 71358.97
Data Reporting Analyst,103564.1 to 107589.74
Data Reporting Analyst,75384.62 to 79410.26
Developer,99538.46 to 103564.1
Developer,83435.9 to 87461.54
Analyst,71358.97 to 75384.62
Platform Engineer,151871.79 to 155897.44
Platform Engineer,131743.59 to 135769.23
Software Engineer,111615.38 to 115641.03
Software Engineer,59282.05 to 63307.69
Data Engineer,284717.95 to 288743.59
Data Specialist,196153.85 to 200179.49
Data Specialist,115641.03 to 119666.67
Data Architect,159923.08 to 163948.72
Data Architect,83435.9 to 87461.54
Software Engineer,204205.13 to 208230.77
Data Analyst,200179.49 to 204205.13
Data Analyst,216282.05 to 220307.69
Data Engineer,115641.03 to 119666.67
Data Engineer,75384.62 to 79410.26
Engineer,180051.28 to 184076.92
Engineer,95512.82 to 99538.46
Analyst,159923.08 to 163948.72
Engineer,196153.85 to 200179.49
DevOps Engineer,196153.85 to 200179.49
DevOps Engineer,115641.03 to 119666.67
Machine Learning Engineer,180051.28 to 184076.92
Machine Learning Engineer,127717.95 to 131743.59
Business Intelligence Engineer,184076.92 to 188102.56
Business Intelligence Engineer,87461.54 to 91487.18
Applied Scientist,324974.36 to 329000.0
Applied Scientist,192128.21 to 196153.85
Solutions Engineer,172000.0 to 176025.64
Solutions Engineer,147846.15 to 151871.79
Data Engineer,184076.92 to 188102.56
Executive,127717.95 to 131743.59
Executive,91487.18 to 95512.82
AI Engineer,87461.54 to 91487.18
AI Engineer,43179.49 to 47205.13
Associate,228358.97 to 232384.62
Consultant,204205.13 to 208230.77
Consultant,115641.03 to 119666.67
Data Analyst,240435.9 to 244461.54
Data Analyst,155897.44 to 159923.08
Data Analyst,135769.23 to 139794.87
Data Manager,155897.44 to 159923.08
Data Architect,184076.92 to 188102.56
Data Architect,111615.38 to 115641.03
Data Architect,99538.46 to 103564.1
AI Architect,172000.0 to 176025.64
AI Architect,147846.15 to 151871.79
Machine Learning Scientist,204205.13 to 208230.77
Machine Learning Scientist,127717.95 to 131743.59
Software Engineer,212256.41 to 216282.05
Product Manager,47205.13 to 51230.77
Product Manager,43179.49 to 47205.13
Head of Data,248487.18 to 252512.82
Head of Data,188102.56 to 192128.21
Head of Data,167974.36 to 172000.0
Head of Data,147846.15 to 151871.79
Data Engineer,71358.97 to 75384.62
Business Intelligence Engineer,244461.54 to 248487.18
Business Intelligence Engineer,135769.23 to 139794.87
Analytics Engineer,248487.18 to 252512.82
Analytics Engineer,196153.85 to 200179.49
Analytics Engineer,159923.08 to 163948.72
Research Scientist,296794.87 to 300820.51
Research Scientist,135769.23 to 139794.87
Computer Vision Engineer,232384.62 to 236410.26
Computer Vision Engineer,163948.72 to 167974.36
Manager,236410.26 to 240435.9
Manager,155897.44 to 159923.08
Data Scientist,256538.46 to 260564.1
Data Scientist,143820.51 to 147846.15
Data Scientist,131743.59 to 135769.23
Engineering Manager,296794.87 to 300820.51
Engineering Manager,220307.69 to 224333.33
Product Manager,188102.56 to 192128.21
Product Manager,159923.08 to 163948.72
Machine Learning Engineer,341076.92 to 345102.56
Machine Learning Engineer,192128.21 to 196153.85
Machine Learning Engineer,256538.46 to 260564.1
Machine Learning Engineer,184076.92 to 188102.56
Engineer,159923.08 to 163948.72
Machine Learning Engineer,276666.67 to 280692.31
Machine Learning Engineer,333025.64 to 337051.28
BI Analyst,135769.23 to 139794.87
BI Analyst,119666.67 to 123692.31
Software Engineer,276666.67 to 280692.31
Solutions Engineer,208230.77 to 212256.41
Solutions Engineer,135769.23 to 139794.87
Analyst,131743.59 to 135769.23
Postdoctoral Fellow,131743.59 to 135769.23
Postdoctoral Fellow,111615.38 to 115641.03
Research Scientist,268615.38 to 272641.03
Research Scientist,188102.56 to 192128.21
Software Engineer,123692.31 to 127717.95
Python Developer,176025.64 to 180051.28
Python Developer,139794.87 to 143820.51
Software Developer,107589.74 to 111615.38
Software Developer,83435.9 to 87461.54
Software Developer,87461.54 to 91487.18
Software Developer,59282.05 to 63307.69
Product Manager,200179.49 to 204205.13
Product Manager,172000.0 to 176025.64
Engineer,284717.95 to 288743.59
Business Intelligence Analyst,196153.85 to 200179.49
Business Intelligence Analyst,95512.82 to 99538.46
Engineer,139794.87 to 143820.51
Engineer,111615.38 to 115641.03
Engineer,167974.36 to 172000.0
Engineer,67333.33 to 71358.97
Engineer,461846.15 to 465871.79
Engineer,345102.56 to 349128.21
Engineer,87461.54 to 91487.18
Site Reliability Engineer,719487.18 to 723512.82
Site Reliability Engineer,99538.46 to 103564.1
Associate,248487.18 to 252512.82
Backend Engineer,204205.13 to 208230.77
Backend Engineer,167974.36 to 172000.0
Full Stack Engineer,216282.05 to 220307.69
Full Stack Engineer,184076.92 to 188102.56
Full Stack Engineer,204205.13 to 208230.77
Full Stack Engineer,167974.36 to 172000.0
Backend Engineer,216282.05 to 220307.69
Backend Engineer,184076.92 to 188102.56
Software Engineer,184076.92 to 188102.56
Executive,316923.08 to 320948.72
Executive,296794.87 to 300820.51
Data Architect,196153.85 to 200179.49
Research Engineer,260564.1 to 264589.74
Machine Learning Engineer,304846.15 to 308871.79
Machine Learning Engineer,188102.56 to 192128.21
Engineering Manager,284717.95 to 288743.59
Engineering Manager,212256.41 to 216282.05
Data Engineer,280692.31 to 284717.95
Data Engineer,67333.33 to 71358.97
Data Engineer,63307.69 to 67333.33
Data Engineer,43179.49 to 47205.13
Data Governance,147846.15 to 151871.79
Data Governance,127717.95 to 131743.59
Research Scientist,292769.23 to 296794.87
Research Scientist,212256.41 to 216282.05
Analyst,244461.54 to 248487.18
Product Manager,163948.72 to 167974.36
Product Manager,119666.67 to 123692.31
Software Engineer,296794.87 to 300820.51
Engineer,212256.41 to 216282.05
Product Manager,312897.44 to 316923.08
Data Engineer,224333.33 to 228358.97
Data Manager,99538.46 to 103564.1
Data Manager,59282.05 to 63307.69
Data Management Analyst,71358.97 to 75384.62
Data Management Analyst,55256.41 to 59282.05
Data Scientist,91487.18 to 95512.82
Data Scientist,55256.41 to 59282.05
Engineer,232384.62 to 236410.26
Engineer,59282.05 to 63307.69
Developer,111615.38 to 115641.03
Developer,51230.77 to 55256.41
AI Developer,208230.77 to 212256.41
AI Developer,99538.46 to 103564.1
Data Analyst,35128.21 to 39153.85
Business Intelligence Engineer,192128.21 to 196153.85
Business Intelligence Engineer,107589.74 to 111615.38
Engineer,208230.77 to 212256.41
Data Developer,135769.23 to 139794.87
Data Developer,83435.9 to 87461.54
Platform Engineer,111615.38 to 115641.03
Platform Engineer,75384.62 to 79410.26
Data Scientist,188102.56 to 192128.21
Data Manager,200179.49 to 204205.13
Data Manager,111615.38 to 115641.03
Engineer,312897.44 to 316923.08
Manager,123692.31 to 127717.95
Quantitative Analyst,139794.87 to 143820.51
Quantitative Analyst,87461.54 to 91487.18
Manager,385358.97 to 389384.62
Research Associate,151871.79 to 155897.44
