job_xp,salary
AI Architect (SE),324950.22 to 335203.86
Data Scientist (EX),324950.22 to 335203.86
Engineering Manager (SE),324950.22 to 335203.86
Head of Data (EX),324950.22 to 335203.86
Analytics Engineer (SE),324950.22 to 335203.86
Security Engineer (SE),324950.22 to 335203.86
Software Engineer (EX),324950.22 to 335203.86
AI Engineer (SE),324950.22 to 335203.86
Product Designer (SE),324950.22 to 335203.86
Systems Engineer (SE),324950.22 to 335203.86
Site Reliability Engineer (SE),324950.22 to 335203.86
Applied Scientist (SE),324950.22 to 335203.86
Data Analyst (SE),324950.22 to 335203.86
Business Intelligence Engineer (MI),324950.22 to 335203.86
Director of Machine Learning (EX),324950.22 to 335203.86
Data Engineer (MI),324950.22 to 335203.86
Machine Learning Architect (SE),324950.22 to 335203.86
Developer (SE),324950.22 to 335203.86
Machine Learning Scientist (SE),324950.22 to 335203.86
Analyst (SE),324950.22 to 335203.86
Analyst (MI),324950.22 to 335203.86
Data Analyst (MI),324950.22 to 335203.86
Applied AI ML Lead (SE),324950.22 to 335203.86
Engineer (SE),315010.23 to 324950.22
Data Scientist (SE),315010.23 to 324950.22
Research Scientist (SE),315010.23 to 324950.22
Software Engineer (SE),315010.23 to 324950.22
Software Development Engineer (MI),315010.23 to 324950.22
Data Engineer (EX),315010.23 to 324950.22
Machine Learning Engineer (SE),315010.23 to 324950.22
Data Engineer (SE),315010.23 to 324950.22
Finance Data Analyst (SE),315010.23 to 324950.22
Data Scientist (EX),315010.23 to 324950.22
Solutions Architect (SE),315010.23 to 324950.22
Data Modeler (SE),315010.23 to 324950.22
Applied Scientist (SE),315010.23 to 324950.22
Software Engineer (MI),315010.23 to 324950.22
Software Developer (SE),315010.23 to 324950.22
Software Engineer (EX),315010.23 to 324950.22
Business Intelligence (SE),315010.23 to 324950.22
Machine Learning Developer (SE),315010.23 to 324950.22
Manager (SE),315010.23 to 324950.22
Engineer (EX),315010.23 to 324950.22
Machine Learning Manager (SE),315010.23 to 324950.22
Head of Data (EX),315010.23 to 324950.22
Engineering Manager (SE),315010.23 to 324950.22
Manager (MI),315010.23 to 324950.22
Engineering Manager (MI),315010.23 to 324950.22
Data Product Owner (MI),315010.23 to 324950.22
Research Engineer (SE),315010.23 to 324950.22
AI Architect (SE),315010.23 to 324950.22
Site Reliability Engineer (MI),315010.23 to 324950.22
Research Scientist (MI),315010.23 to 324950.22
Product Manager (SE),315010.23 to 324950.22
Product Manager (MI),315010.23 to 324950.22
Data Architect (SE),315010.23 to 324950.22
Data Scientist (MI),315010.23 to 324950.22
Associate (MI),315010.23 to 324950.22
Quantitative Developer (SE),315010.23 to 324950.22
AI Scientist (SE),315010.23 to 324950.22
Engineer (MI),315010.23 to 324950.22
Technical Lead (SE),315010.23 to 324950.22
Executive (EX),315010.23 to 324950.22
Business Intelligence (EX),315010.23 to 324950.22
Research Engineer (MI),315010.23 to 324950.22
Security Engineer (SE),315010.23 to 324950.22
Lead Engineer (SE),315010.23 to 324950.22
Software Development Engineer (SE),315010.23 to 324950.22
Data Engineer (MI),315010.23 to 324950.22
AI Developer (SE),315010.23 to 324950.22
Architect (SE),315010.23 to 324950.22
Engineering Manager (MI),305374.3 to 315010.23
Analytics Engineer (MI),305374.3 to 315010.23
Engineer (EX),305374.3 to 315010.23
Applied Scientist (SE),305374.3 to 315010.23
Machine Learning Engineer (SE),305374.3 to 315010.23
